day,time,tidal_range
5-Oct-20,1:59:59,0.288
5-Oct-20,2:59:59,0.3686
5-Oct-20,3:59:59,0.3498
5-Oct-20,4:59:59,0.2366
5-Oct-20,5:59:59,0.0608
5-Oct-20,6:59:59,-0.1282
5-Oct-20,7:59:59,-0.279
5-Oct-20,8:59:59,-0.353
5-Oct-20,9:59:59,-0.3337
5-Oct-20,10:59:59,-0.2281
5-Oct-20,11:59:59,-0.0633
5-Oct-20,12:59:59,0.1205
5-Oct-20,13:59:59,0.2778
5-Oct-20,14:59:59,0.3676
5-Oct-20,15:59:59,0.3644
5-Oct-20,16:59:59,0.2665
5-Oct-20,17:59:59,0.0988
5-Oct-20,18:59:59,-0.0937
5-Oct-20,19:59:59,-0.2601
5-Oct-20,20:59:59,-0.3585
5-Oct-20,21:59:59,-0.3671
5-Oct-20,22:59:59,-0.2876
5-Oct-20,23:59:59,-0.1419
6-Oct-20,0:59:59,0.0339
6-Oct-20,1:59:59,0.1976
6-Oct-20,2:59:59,0.3088
6-Oct-20,3:59:59,0.3388
6-Oct-20,4:59:59,0.2789
6-Oct-20,5:59:59,0.1454
6-Oct-20,6:59:59,-0.0244
6-Oct-20,7:59:59,-0.183
6-Oct-20,8:59:59,-0.2877
6-Oct-20,9:59:59,-0.313
6-Oct-20,10:59:59,-0.2554
6-Oct-20,11:59:59,-0.1321
6-Oct-20,12:59:59,0.0255
6-Oct-20,13:59:59,0.1792
6-Oct-20,14:59:59,0.291
6-Oct-20,15:59:59,0.3314
6-Oct-20,16:59:59,0.2874
6-Oct-20,17:59:59,0.1681
6-Oct-20,18:59:59,0.004
6-Oct-20,19:59:59,-0.1609
6-Oct-20,20:59:59,-0.2836
6-Oct-20,21:59:59,-0.334
6-Oct-20,22:59:59,-0.3032
6-Oct-20,23:59:59,-0.2024
7-Oct-20,0:59:59,-0.0582
7-Oct-20,1:59:59,0.0949
7-Oct-20,2:59:59,0.2212
7-Oct-20,3:59:59,0.2904
7-Oct-20,4:59:59,0.2849
7-Oct-20,5:59:59,0.2056
7-Oct-20,6:59:59,0.074
7-Oct-20,7:59:59,-0.073
7-Oct-20,8:59:59,-0.1947
7-Oct-20,9:59:59,-0.2589
7-Oct-20,10:59:59,-0.2516
7-Oct-20,11:59:59,-0.1784
7-Oct-20,12:59:59,-0.0602
7-Oct-20,13:59:59,0.0735
7-Oct-20,14:59:59,0.1906
7-Oct-20,15:59:59,0.2626
7-Oct-20,16:59:59,0.2702
7-Oct-20,17:59:59,0.2085
7-Oct-20,18:59:59,0.0915
7-Oct-20,19:59:59,-0.0507
7-Oct-20,20:59:59,-0.1805
7-Oct-20,21:59:59,-0.2641
7-Oct-20,22:59:59,-0.2823
7-Oct-20,23:59:59,-0.2344
8-Oct-20,0:59:59,-0.1354
8-Oct-20,1:59:59,-0.0102
8-Oct-20,2:59:59,0.1127
8-Oct-20,3:59:59,0.206
8-Oct-20,4:59:59,0.2483
8-Oct-20,5:59:59,0.2289
8-Oct-20,6:59:59,0.1523
8-Oct-20,7:59:59,0.0393
8-Oct-20,8:59:59,-0.0784
8-Oct-20,9:59:59,-0.1687
8-Oct-20,10:59:59,-0.2087
8-Oct-20,11:59:59,-0.1916
8-Oct-20,12:59:59,-0.1256
8-Oct-20,13:59:59,-0.0294
8-Oct-20,14:59:59,0.0737
8-Oct-20,15:59:59,0.1599
8-Oct-20,16:59:59,0.2087
8-Oct-20,17:59:59,0.2063
8-Oct-20,18:59:59,0.1506
8-Oct-20,19:59:59,0.054
8-Oct-20,20:59:59,-0.0587
8-Oct-20,21:59:59,-0.1576
8-Oct-20,22:59:59,-0.2175
8-Oct-20,23:59:59,-0.2256
9-Oct-20,0:59:59,-0.1834
9-Oct-20,1:59:59,-0.1036
9-Oct-20,2:59:59,-0.0048
9-Oct-20,3:59:59,0.0925
9-Oct-20,4:59:59,0.1679
9-Oct-20,5:59:59,0.2046
9-Oct-20,6:59:59,0.193
9-Oct-20,7:59:59,0.1355
9-Oct-20,8:59:59,0.0476
9-Oct-20,9:59:59,-0.0463
9-Oct-20,10:59:59,-0.1212
9-Oct-20,11:59:59,-0.1593
9-Oct-20,12:59:59,-0.1551
9-Oct-20,13:59:59,-0.1133
9-Oct-20,14:59:59,-0.0458
9-Oct-20,15:59:59,0.0322
9-Oct-20,16:59:59,0.1036
9-Oct-20,17:59:59,0.1516
9-Oct-20,18:59:59,0.1623
9-Oct-20,19:59:59,0.1301
9-Oct-20,20:59:59,0.0616
9-Oct-20,21:59:59,-0.0257
9-Oct-20,22:59:59,-0.1086
9-Oct-20,23:59:59,-0.1662
10-Oct-20,0:59:59,-0.1865
10-Oct-20,1:59:59,-0.1671
10-Oct-20,2:59:59,-0.1136
10-Oct-20,3:59:59,-0.0365
10-Oct-20,4:59:59,0.05
10-Oct-20,5:59:59,0.1286
10-Oct-20,6:59:59,0.181
10-Oct-20,7:59:59,0.1932
10-Oct-20,8:59:59,0.1611
10-Oct-20,9:59:59,0.0928
10-Oct-20,10:59:59,0.0072
10-Oct-20,11:59:59,-0.074
10-Oct-20,12:59:59,-0.1325
10-Oct-20,13:59:59,-0.1578
10-Oct-20,14:59:59,-0.1468
10-Oct-20,15:59:59,-0.1027
10-Oct-20,16:59:59,-0.0342
10-Oct-20,17:59:59,0.0444
10-Oct-20,18:59:59,0.1139
10-Oct-20,19:59:59,0.1546
10-Oct-20,20:59:59,0.1531
10-Oct-20,21:59:59,0.1082
10-Oct-20,22:59:59,0.0316
10-Oct-20,23:59:59,-0.0561
11-Oct-20,0:59:59,-0.1331
11-Oct-20,1:59:59,-0.1819
11-Oct-20,2:59:59,-0.1919
11-Oct-20,3:59:59,-0.1599
11-Oct-20,4:59:59,-0.0896
11-Oct-20,5:59:59,0.0069
11-Oct-20,6:59:59,0.1094
11-Oct-20,7:59:59,0.1931
11-Oct-20,8:59:59,0.2349
11-Oct-20,9:59:59,0.2225
11-Oct-20,10:59:59,0.1586
11-Oct-20,11:59:59,0.0601
11-Oct-20,12:59:59,-0.0489
11-Oct-20,13:59:59,-0.1437
11-Oct-20,14:59:59,-0.2044
11-Oct-20,15:59:59,-0.2187
11-Oct-20,16:59:59,-0.1824
11-Oct-20,17:59:59,-0.1019
11-Oct-20,18:59:59,0.0054
11-Oct-20,19:59:59,0.1123
11-Oct-20,20:59:59,0.1892
11-Oct-20,21:59:59,0.2133
11-Oct-20,22:59:59,0.1772
11-Oct-20,23:59:59,0.0907
12-Oct-20,0:59:59,-0.0229
12-Oct-20,1:59:59,-0.1348
12-Oct-20,2:59:59,-0.218
12-Oct-20,3:59:59,-0.2522
12-Oct-20,4:59:59,-0.2267
12-Oct-20,5:59:59,-0.1428
12-Oct-20,6:59:59,-0.0158
12-Oct-20,7:59:59,0.1256
12-Oct-20,8:59:59,0.2455
12-Oct-20,9:59:59,0.3108
12-Oct-20,10:59:59,0.3028
12-Oct-20,11:59:59,0.2225
12-Oct-20,12:59:59,0.0905
12-Oct-20,13:59:59,-0.0611
12-Oct-20,14:59:59,-0.1971
12-Oct-20,15:59:59,-0.2872
12-Oct-20,16:59:59,-0.3109
12-Oct-20,17:59:59,-0.2612
12-Oct-20,18:59:59,-0.1476
12-Oct-20,19:59:59,0.0034
12-Oct-20,20:59:59,0.1529
12-Oct-20,21:59:59,0.2599
12-Oct-20,22:59:59,0.2941
12-Oct-20,23:59:59,0.2459
13-Oct-20,0:59:59,0.1289
13-Oct-20,1:59:59,-0.0253
13-Oct-20,2:59:59,-0.1772
13-Oct-20,3:59:59,-0.2889
13-Oct-20,4:59:59,-0.332
13-Oct-20,5:59:59,-0.2924
